"ООО ЭЛЬСТЕР МЕТРОНИКА
";ВАО;район Перово;"Производство строительных материалов
"
"ООО КФ ЧЕРЕМУШКИ
";ВАО;район Гольяново;"Пищевая промышленность
"
АО ОДК;ВАО;район Соколиная Гора;"Авиационная промышленность
"
ОАО ГИПРОНИИАВИАПРОМ;ВАО;район Гольяново;"Авиационная промышленность
"
"ООО НПО ПУСК
";ВАО;район Соколиная Гора;"Приборостроение и электроника
"
"ООО ОВЕРХОЛ-ПРО
";ВАО;район Измайлово;"Автомобильная промышленность
"
"ООО АМЕГА
";ВАО;район Соколиная Гора;"Производство строительных материалов
"
"ООО ПЛАЗМА-Т
";ВАО;район Новогиреево;"Приборостроение и электроника
"
"ЗАО АГЕНТСТВО ПРОМЫШЛЕННОГО
РАЗВИТИЯ И ИНВЕСТИЦИЙ ";ВАО;район Гольяново;Операции с недвижимым имуществом  
АО НПО ОРИОН;ВАО;район Вешняки;Радиоэлектроника и приборостроение
АО ЦНИИ ЦИКЛОН;ВАО;район Гольяново;Радиоэлектроника и приборостроение
ООО ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ОВЕН;ВАО;район Перово;Радиоэлектроника и приборостроение
ООО НПО МАШИНОСТРОЕНИЯ СВАРОГ;ВАО;район Преображенское;Автомобильная промышленность
АО МИЗ;ВАО;район Соколиная Гора;Станкоинструментальная промышленность
АО ДЕДАЛ-НВ;ВАО;район Сокольники;Радиоэлектроника и приборостроение
ООО ФЗ ИММУННОЛЕКС;ВАО;район Соколиная Гора;Фармацевтическая промышленность
АО НПП ГЕОФИЗИКА-КОСМОС;ВАО;район Гольяново;Радиоэлектроника и приборостроение
АО АП ВОСХОД;ВАО;район Соколиная Гора;Радиоэлектроника и приборостроение
АО ММЗ ВЫМПЕЛ;ВАО;район Соколиная Гора;Общее машиностроение
ФГУП ГОСНИИОХТ;ВАО;район Соколиная Гора;Химическая промышленность
АО НИИГРАФИТ;ВАО;район Перово;Химическая промышленность
АО НИИ ПАРАШЮТОСТРОЕНИЯ;ВАО;район Гольяново;Научная деятельность
АО ГИРЕДМЕТ;ВАО;район Перово;Общее машиностроение
АО ЦНИИ КУРС;ВАО;район Соколиная Гора;Судостроение
ООО КУВЕРТ;ВАО;район Перово;Деревообрабатывающая
АО КОНЦЕРН МОРИНСИС - АГАТ;ВАО;район Перово;Судостроение
ООО НЕКСТБИО;ВАО;район Новогиреево;Фармацевтическая промышленность
ФГУП РСВО;ВАО;район Соколиная Гора;Химическая промышленность
ООО ЮНИКОН-ЗСК;ВАО;район Новогиреево;Производство строительных материалов
ООО ТПК ФЕЛИКС;ВАО;район Косино-Ухтомский;Производство прочих товаров народного потребления
АО ИНСТИТУТ ЭНЕРГОСЕТЬПРОЕКТ;ВАО;район Соколиная Гора;Научная деятельность
АО АВЭКС;ВАО;район Соколиная Гора;Радиоэлектроника и приборостроение
ООО СЗ МПЖБ-18;ВАО;район Метрогородок;Производство строительных материалов
ООО АГРОБАР ПРО;ВАО;район Перово;Пищевая промышленность
ООО НПК ГЕРМЕТИКА;ВАО;район Метрогородок;Общее машиностроение
ООО БЕНТУС ЛАБОРАТОРИИ;ВАО;район Метрогородок;Химическая промышленность
ООО Т8;ВАО;район Богородское;Радиоэлектроника и приборостроение
ООО НПО ЛИТ;ВАО;район Богородское;Общее машиностроение
ООО ЭРСТВАК;ВАО;район Гольяново;Приборостроение и электроника
ООО НПП РАДАР-ПРИБОР;ВАО;район Перово;Радиоэлектроника и приборостроение
ООО ДЖИЭСЭС КОСМЕТИКС;ВАО;район Метрогородок;Химическая промышленность
