"АО МЦУ
";САО;Хорошёвский район;Производство бумаги и бумажных изделий
ЗАО ХАМИЛЬТОН СТАНДАРД-НАУКА;САО;Савёловский район;Производство машин и оборудования
"АО НПП РАДИЙ
 ";САО;район Аэропорт;Производство компьютеров, электронных и оптических изделий
"ЗАО МЗТО
 ";САО;Головинский район;Производство мебели
"АО ММЗ АВАНГАРД
";САО;Войковский район;Производство оружия и боеприпасов
"ПАО НПО НАУКА
";САО;район Беговой;Авиационная промышленность
ООО ДЕКОН;САО;Войковский район;Деревообрабатывающая
АО НПП ДЕЛЬТА;САО;район Коптево;Оружие и боеприпасы
"АО МПО ИМ. И. РУМЯНЦЕВА

";САО;район Беговой;Производство прочих транспортных средств и оборудования
"АО ММЗ ЗНАМЯ
";САО;район Западное Дегунино;Производство прочих транспортных средств и оборудования
ФГУП ГОСНИИАС ;САО;Хорошёвский район;Авиационная промышленность
АО РСК МИГ;САО;район Беговой;Авиационная промышленность
"ПАО КОРПОРАЦИЯ ИРКУТ
";САО;район Аэропорт;"Авиационная промышленность
"
"АО КОНЦЕРН РТИ СИСТЕМЫ
";САО;Савёловский район;"Приборостроение и электроника
"
"ФГУП НИИ КВАНТ
";САО;Головинский район;"Приборостроение и электроника
"
"АО НИИЧАСПРОМ
";САО;район Аэропорт;"Приборостроение и электроника
"
АО ВНИИ ЭТАЛОН;САО;район Беговой;"Производство оружия и боеприпасов
"
"ООО ТМ-МОСКВА
";САО;район Коптево;"Химическая промышленность
"
АО РТИ;САО;Савёловский район;Приборостроение и электроника
"ООО БТ СВАП
";САО;Дмитровский район;"Производство строительных материалов
"
"АО РФК
";САО;Головинский район;"Фармацевтическая промышленность
"
"ООО ТЕЛЕКОР
";САО;район Беговой;"Приборостроение и электроника
"
"АО СПЕЦТЕХМАШ
";САО;район Аэропорт;"Производство оружия и боеприпасов
"
"ООО АСТРА ПРЕСТИЖ
";САО;Молжаниновский район;"Химическая промышленность
"
ФГУП ЦИТО;САО;район Коптево;Медицинская промышленность
АО НТЦ МОДУЛЬ;САО;район Аэропорт;Радиоэлектроника и приборостроение
ООО ДСК-ПРОИЗВОДСТВО;САО;Хорошёвский район;Производство строительных материалов
АО ФАЗОТРОН-ВМЗ;САО;Бескудниковский район;Радиоэлектроника и приборостроение
АО НИМИ ИМ. В.В. БАХИРЕВА;САО;Головинский район;Производство оружия, боеприпасов, спецхимии, военных машин
АО НИИ СТАЛИ;САО;район Восточное Дегунино;Производство оружия, боеприпасов, спецхимии, военных машин
ФГУП НАМИ;САО;Головинский район;Автомобильная промышленность
ПАО ИЛ;САО;Хорошёвский район;Авиационная промышленность
АО ГНЦ ЦЕНТР КЕЛДЫША;САО;Головинский район;Авиационная промышленность
ПАО МИЭА;САО;район Аэропорт;Радиоэлектроника и приборостроение
ФАУ ГОСНИИАС;САО;Хорошёвский район;Авиационная промышленность
АО МНПК АВИОНИКА;САО;район Беговой;Радиоэлектроника и приборостроение
ООО ФАРМУПАК;САО;район Коптево;Деревообрабатывающая
ООО БЕЛЫЙ СВЕТ 2000;САО;район Сокол;Приборостроение и электроника
АО НИИМА ПРОГРЕСС;САО;район Коптево;Радиоэлектроника и приборостроение
ООО ЗСА РИТМ;САО;район Восточное Дегунино;Медицинская промышленность
ООО КОНМЕТ;САО;Головинский район;Медицинская промышленность
АО СЕТ-1;САО;Савёловский район;Радиоэлектроника и приборостроение
АО ИМЦ КОНЦЕРНА ВЕГА;САО;район Аэропорт;Радиоэлектроника и приборостроение
ФГУП ГОСНИИ ГА;САО;район Коптево;Авиационная промышленность
ФГБУ 27 ЦНИИ МИНОБОРОНЫРОССИИ;САО;Хорошёвский район;Химическая промышленность
ООО НПФ СИНТОЛ;САО;Тимирязевский район;Металлургия и металлообработка
АО СВОБОДА;САО;Савёловский район;Химическая промышленность
АО СТ-АВТО;САО;Молжаниновский район;Автомобильная промышленность
АО ЦНИИПРОМЗДАНИЙ;САО;Тимирязевский район;Производство строительных материалов
АО НПК ВТ И СС;САО;Савёловский район;Радиоэлектроника и приборостроение
ООО НПК ШТУРМОВИКИ СУХОГО;САО;Хорошёвский район;Авиационная промышленность
ЗАО ТОП СИСТЕМЫ;САО;Тимирязевский район;Научная деятельность
ФКП НПЦ ДЕЛЬТА;САО;район Левобережный;Радиоэлектроника и приборостроение
ИТПЭ РАН;САО;Дмитровский район;Научная деятельность
АО НПО МОБИЛЬНЫЕ ИНФОРМАЦИОННЫЕ СИСТЕМЫ;САО;Головинский район;Научная деятельность
АО МКБ ИСКРА;САО;район Беговой;Производство оружия, боеприпасов, спецхимии, военных машин
АО ОКБ ИМ. А.С. ЯКОВЛЕВА;САО;район Аэропорт;Авиационная промышленность
ООО РТИТС;САО;Савёловский район;"Радиоэлектроника и приборостроение
"
ФЛ ФКП РОСГОСЦИРК МХПК;САО;Тимирязевский район;"Легкая промышленность
"
ООО А-ТЕХНИКС;САО;Молжаниновский район;"Авиационная промышленность
"
ОАО ОМПК ;СВАО;Бутырский район;Пищевая промышленность
ОАО ОМК ;СВАО;Бутырский район;Пищевая промышленность
ОАО КАРАТ ;СВАО;Бутырский район;Пищевая промышленность
АО БРПИ ;СВАО;Бутырский район;Пищевая промышленность
ЗАО ОЗБИ ;СВАО;Бутырский район;Пищевая промышленность
ОАО ЯУЗА-ХЛЕБ ;СВАО;район Ростокино;Пищевая промышленность
ЗАО ХЛЕБОКОМБИНАТ ПЕКО ;СВАО;район Северное Медведково;Пищевая промышленность
ООО Юнайтед Пресс ;СВАО;район Марьина Роща;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО ИЗДАТЕЛЬСТВО ПРОСВЕЩЕНИЕ ;СВАО;район Марьина Роща;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО ЛЕОВИТ НУТРИО ;СВАО;район Отрадное;Пищевая промышленность
ОАО ОЗН ;СВАО;Бутырский район;Пищевая промышленность
ООО Серебряная нить Лтд ;СВАО;район Лианозово;Легкая промышленность
ЗАО МЕДВЕДКОВО ;СВАО;район Северное Медведково;Легкая промышленность
АО СТРОЙДЕТАЛЬ ;СВАО;Бабушкинский район;Резиновые и пластмассовые изделия
ООО БРААС-ДСК 1;СВАО;район Свиблово;Неметаллические минеральные продукты
ОАО ЛЗСМИК ;СВАО;район Южное Медведково;Неметаллические минеральные продукты
МТФ - ЗАВОД МОКОН -ФЛ ОАО МОСТОТРЕСТ ;СВАО;район Южное Медведково;Неметаллические минеральные продукты
ООО СТРОЙЦЕНТРОБЕТОН ;СВАО;район Южное Медведково;Неметаллические минеральные продукты
АО КОМБИНАТ МОСИНЖБЕТОН ;СВАО;район Южное Медведково;Неметаллические минеральные продукты
ОАО  САНДВИК-МКТС ;СВАО;район Марьина Роща;Металлообрабатывающая промышленность
ОАО САТЭКС ;СВАО;район Марьина Роща;Металлообрабатывающая промышленность
ОАО НПО ГИДРОМАШ ;СВАО;Алексеевский район;Машины и оборудование
ЗАО ШИНДЛЕР ;СВАО;Алексеевский район;Машины и оборудование
ООО СПЕЦЭНЕРГОРЕМОНТ ;СВАО;Останкинский район;Машины и оборудование
ООО НСК ЕВРОСЕРВИС ;СВАО;Алексеевский район;Машины и оборудование
ООО ИЗДАТЕЛЬСКИЙ ЦЕНТР АКАДЕМИЯ ;СВАО;Останкинский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ЗАО БИЗНЕС НЬЮС МЕДИА ;СВАО;район Марьина Роща;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ОАО МОСКОВСКАЯ СПЕЦИАЛИЗИРОВАННАЯ ТИПОГРАФИЯ №27 ;СВАО;район Северное Медведково;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО ИПТК Логосвос ;СВАО;Алексеевский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ФГУП ИЗДАТЕЛЬСТВО ИЗВЕСТИЯ ;СВАО;Бутырский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО МНМЗ ;СВАО;Ярославский район;Нефтепереработка
ООО СТОЛИЧНЫЙ ЮВЕЛИРНЫЙ ЗАВОД ;СВАО;район Отрадное;Ювелирные изделия
ФГУП ЭЗ МОЛМАШ ;СВАО;Бутырский район;Машины и оборудование
АО АЭРОЭЛЕКТРОМАШ ;СВАО;Бутырский район;Производство электрического оборудования
ЛОСИНООСТРОВСКИЙ ЭТЗ - ФЛ ОАО ЭЛТЕЗА ;СВАО;Бабушкинский район;Электрооборудование, электронное и оптическое оборудование, мед. оборудование
ЗАО Крафтвэй корпорейшн ПЛС;СВАО;Алексеевский район;Производство компьютеров, электронных и оптических изделий
ООО ЭЛЕКТРОПРОМ ;СВАО;Алексеевский район;Производство электрического оборудования
АО ОЛИВЕСТА;СВАО;район Марьина Роща;химическая промышленность
ООО ФАЦЕР;СВАО;Останкинский район;пищевая промышленность
ООО ЛЕОВИТ нутрио;СВАО;район Отрадное;пищевая промышленность
АО ВГ КОНТУРС;СВАО;район Южное Медведково;Деятельность полиграфическая 
"ПАО НПП ИМПУЛЬС
 ";СВАО;Алексеевский район;Производство оружия и боеприпасов
ООО Морской замок;СВАО;район Отрадное;пищевая промышленность
"АО ИРКОС
";СВАО;Останкинский район;Радиоэлектронная промышленность
"АО ЦНИИАГ
";СВАО;район Марьина Роща;"Авиационная промышленность
"
"ООО НПП СЭМ
";СВАО;район Отрадное;"Химическая промышленность
"
"ОАО МПОВТИ
";СВАО;Останкинский район;"Производство оружия и боеприпасов
"
"ООО ЮК ЭСТЕТ
";СВАО;район Марьина Роща;"Производство прочих товаров народного потребления
"
"АО АЛЬБАТРОС
";СВАО;район Марьина Роща;"Станкоинструментальная промышленность
"
"ООО ПОЛЯНА
";СВАО;район Ростокино;"Пищевая промышленность
"
"ООО ЭКС МОРЭ
";СВАО;район Марфино;"Производство строительных материалов
"
ООО ТВЕРДЬ;СВАО;район Свиблово;Пищевая промышленность
АО КОНЦЕРН АВТОМАТИКА;СВАО;район Марфино;Радиоэлектроника и приборостроение
АО ГОСНИИП;СВАО;район Ростокино;Радиоэлектроника и приборостроение
АО НТЦ АТЛАС;СВАО;район Марьина Роща;Радиоэлектроника и приборостроение
АО НИИ КУЛОН;СВАО;Останкинский район;Радиоэлектроника и приборостроение
ОАО АРСП;СВАО;район Свиблово;Производство строительных материалов
ООО ЭССИЛОР - ЛУЙС-ОПТИКА;СВАО;Бутырский район;Радиоэлектроника и приборостроение
АО НИИ ТП;СВАО;район Отрадное;Радиоэлектроника и приборостроение
АО НПП КВАНТ;СВАО;Алексеевский район;Авиационная промышленность
АО СКТБЭ;СВАО;район Ростокино;Химическая промышленность
ООО НПП СВК;СВАО;Бутырский район;Радиоэлектроника и приборостроение
ООО ТЕЛЕМАТИЧЕСКИЕ РЕШЕНИЯ;СВАО;район Северный;Радиоэлектроника и приборостроение
АО КОРПОРАЦИЯ МИТ;СВАО;район Отрадное;Научная деятельность
АО МКПК УНИВЕРСАЛ ИМ. А.И. ПРИВАЛОВА;СВАО;Алтуфьевский район;Авиационная промышленность
АО НИИХИММАШ;СВАО;Бутырский район;Химическая промышленность
ООО ЗАВОД АРМИКОН;СВАО;Алтуфьевский район;Производство строительных материалов
АО ЛАНИТ;СВАО;Останкинский район;Производство компьютеров, электронных и оптических изделий
ООО ЭЛЕКТРОРЕШЕНИЯ;СВАО;район Отрадное;Радиоэлектроника и приборостроение
ООО ДСК1-РОСТОКИНО;СВАО;район Свиблово;Производство строительных материалов
ООО ГОРОДСКОЙ СУПЕРМАРКЕТ;СВАО;Бутырский район;Пищевая промышленность
ООО ХЛЕБОКОМБИНАТ ПЕКО;СВАО;район Северное Медведково;Пищевая промышленность
АО НИКИМТ-АТОМСТРОЙ;СВАО;Алтуфьевский район;Производство строительных материалов
АО НТЦ РАДАР;СВАО;Алтуфьевский район;Научная деятельность
ООО НАУЧНО-ИЗДАТЕЛЬСКИЙ ЦЕНТР ИНФРА-М;СВАО;район Северное Медведково;Полиграфическая деятельность
АО ИНФОТЕКС;СВАО;район Отрадное;Радиоэлектроника и приборостроение
АО НПП ТОПАЗ;СВАО;Алексеевский район;Радиоэлектроника и приборостроение
ФГБУ 46 ЦНИИ МИНОБОРОНЫРОССИИ;СВАО;Бабушкинский район;Научная деятельность
ФГУП НТЦ ОРИОН;СВАО;район Марьина Роща;Научная деятельность
АО НПО АНДРОИДНАЯ ТЕХНИКА;СВАО;район Текстильщики;Общее машиностроение
ФЛ ОКБ ИМ А.ЛЮЛЬКИ;СВАО;Алексеевский район;"Авиационная промышленность
"
ООО ЭКСПЕРТСТРОЙПРОЕКТ;СВАО;район Свиблово;разработка программного обеспечения
ООО ОКРУГ ;СЗАО;район Северное Тушино;Легкая промышленность
ООО ФРАМ ВИНДОУЗ-ДСК-1 ;СЗАО;район Хорошёво-Мнёвники;Резиновые и пластмассовые изделия
ОАО СПЕЦСТРОЙБЕТОН - ЖБИ № 17 ;СЗАО;район Хорошёво-Мнёвники;Неметаллические минеральные продукты
АО ЕВРОБЕТОН ;СЗАО;район Хорошёво-Мнёвники;Неметаллические минеральные продукты
ООО ФЕРОН ;СЗАО;район Покровское-Стрешнево;Химическая промышленность
ЗАО ИНПЦ ПЕПТОГЕН ;СЗАО;район Строгино;Химическая промышленность
филиал Медгамал  ФГБУ ФНИЦЭМ им. Н.Ф. Гамалеи  М;СЗАО;район Щукино;Химическая промышленность
ЗАО ТРИНИТИ СОЛЮШНС ;СЗАО;район Строгино;Производство компьютеров, электронных и оптических изделий
АО ГОС МКБ ВЫМПЕЛ ИМ. И.И. ТОРОПОВА;СЗАО;район Покровское-Стрешнево;Научные исследования и разработки 
"АО ММП ИМЕНИ В.В. ЧЕРНЫШЕВА
";СЗАО;район Покровское-Стрешнево;Производство прочих транспортных средств и оборудования
"ООО НИИ КМ
";СЗАО;район Щукино;"Химическая промышленность
"
"ЗАОСНИИП-СИСТЕМАТОМ
";СЗАО;район Щукино;"Топливно-энергетическое машиностроение
"
"ЗАО УНИВЕРСАЛ-АЭРО
";СЗАО;район Южное Тушино;"Автомобильная промышленность
"
ФГУП ФЕДЕРАЛЬНЫЙ ЦЕНТР ПО ПРОЕКТИРОВАНИЮ И РАЗВИТИЮ ОБЪЕКТОВ ЯДЕРНОЙ МЕДИЦИНЫ ФМБА РОССИИ;СЗАО;район Щукино;"Фармацевтическая промышленность
"
"ГБПОУ МГОК
";СЗАО;район Покровское-Стрешнево;"Деревообрабатывающая
"
"ООО САНТИ
";СЗАО;район Щукино;"Пищевая промышленность
"
ПАО РАДИОФИЗИКА;СЗАО;район Северное Тушино;Радиоэлектроника и приборостроение
АО СНИИП;СЗАО;район Щукино;Радиоэлектроника и приборостроение
ПАО МАК ВЫМПЕЛ ;СЗАО;район Северное Тушино;Радиоэлектроника и приборостроение
АО ВНИИНМ;СЗАО;район Щукино;Топливно-энергетический комплекс
АО НПО МОЛНИЯ;СЗАО;район Южное Тушино;Металлургия и металлообработка
ФГУП НТЦ ОБОРОННОГО КОМПЛЕКСА КОМПАС;СЗАО;район Покровское-Стрешнево;Производство оружия, боеприпасов, спецхимии, военных машин
НИЦ КУРЧАТОВСКИЙ ИНСТИТУТ;СЗАО;район Щукино;Научная деятельность
АО ТЕКОНГРУП;СЗАО;район Хорошёво-Мнёвники;Радиоэлектроника и приборостроение
ООО ГОРЯЧИЕ КРЕНДЕЛИ СЕВЕР;СЗАО;район Южное Тушино;Пищевая промышленность
ООО ИНГЕОКОМ-ИНВЕСТ СТРОЙ;СЗАО;район Хорошёво-Мнёвники;Производство строительных материалов
ФГУП ГОСНИИБП;СЗАО;район Покровское-Стрешнево;Медицинская промышленность
ФГБУ ГНЦ ФМБЦ ИМ. А.И. БУРНАЗЯНА ФМБА РОССИИ;СЗАО;район Щукино;Медицинская промышленность
ЗАО ЭЛСИЭЛ;СЗАО;район Южное Тушино;Топливно-энергетический комплекс
АО ТЕКОН-ИНЖИНИРИНГ;СЗАО;район Хорошёво-Мнёвники;Производство ж/д транспорта
ООО ВЕНТО-2М;СЗАО;район Южное Тушино;"Производство прочих товаров народного потребления
"
ООО Русский рыбный мир ;ТАО;поселение Щаповское;Пищевая промышленность
ООО АЛЬТЕРВЕСТ XXI ВЕК ;ТАО;поселение Первомайское;Пищевая промышленность
АО Троицкая камвольная фабрика ;ТАО;поселение Троицк;Легкая промышленность
ЗАО РЕГЕНТ НМ ;ТАО;поселение Роговское;Легкая промышленность
ООО Фратти НВ ;ТАО;поселение Щаповское;Химическая промышленность
ООО СИНИКОН ;ТАО;поселение Троицк;Резиновые и пластмассовые изделия
ООО ВЕКА РУС ;ТАО;поселение Первомайское;Резиновые и пластмассовые изделия
ООО Окна Мастер ;ТАО;поселение Первомайское;Производство изделий из пластмасс
ОАО КИМПОР ;ТАО;поселение Краснопахорское;Металлообрабатывающая промышленность
ООО НПП ЦИРКОН СЕРВИС ;ТАО;поселение Щербинка;Металлообрабатывающая промышленность
ООО СЕРВЬЕ РУС ;ТАО;поселение Краснопахорское;Химическая промышленность
ООО СКБ МЕДРЕНТЕХ ;ТАО;поселение Мосрентген;Медицинское оборудование
ОАО 90 ЭКСПЕРИМЕНТАЛЬНЫЙ ЗАВОД ;ТАО;поселение Первомайское;Транспортные средства
ООО ПК АКВАРИУС ;ТАО;поселение Московский;Производство компьютеров, электронных и оптических изделий
ООО ПрофильДоорс ;ТАО;поселение Щаповское;Деревообработка
ООО НЕТКАНИКА;ТАО;поселение Роговское;"Легкая промышленность
"
ООО ДОМОТЕКА;ТАО;поселение Краснопахорское;"Деревообрабатывающая
"
ООО ФАКТОР-МЕД ПРОДАКШН;ТАО;поселение Троицк;Фармацевтическая промышленность
ООО СИМРАЙЗ РОГОВО;ТАО;поселение Роговское;Пищевая промышленность
ООО НОВАПРОДУКТ АГ;ТАО;поселение Краснопахорское;Пищевая промышленность
ООО МЕГАМИКС КОМБИКОРМ;ТАО;поселение Новофедоровское;Пищевая промышленность
АО ГНЦ РФ ТРИНИТИ;ТАО;поселение Троицк;Топливно-энергетический комплекс
ООО БИГ;ТАО;поселение Вороновское;Химическая промышленность
ООО ЦТО ТЕХНОСПАРК;ТАО;поселение Троицк;Металлургия и металлообработка
ФГБНУ ТИСНУМ;ТАО;поселение Троицк;Химическая промышленность
ООО ТЕХНО ЛИТ;ТАО;поселение Краснопахорское;Металлургия и металлообработка
ООО ФРИСТАЙЛ ТЕХНОЛОДЖИ;ТАО;поселение Щаповское;Металлообрабатывающая промышленность
ООО ШИШКИН ЛЕС ТОРГ;ТАО;поселение Михайлово-Ярцевское;Производство напитков
ООО ТКБ;ТАО;район Западное Дегунино;Химическая промышленность
ООО КОМБИНАТ ПИТАНИЯ;ТАО;поселение Кленовское;"Пищевая промышленность
"
АО ИТА СЕВЕРНАЯ КОМПАНИЯ;ТАО;поселение Краснопахорское;"Пищевая промышленность
"
ОАО КОНДИТЕРСКИЙ КОНЦЕРН БАБАЕВСКИЙ ;ЦАО;Красносельский район;Пищевая промышленность
ПАО КРАСНЫЙ ОКТЯБРЬ ;ЦАО;Красносельский район;Пищевая промышленность
ИЗДАТЕЛЬСТВО ЮРИДИЧЕСКАЯ ЛИТЕРАТУРА ;ЦАО;Пресненский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ОАО РОТ ФРОНТ ;ЦАО;район Замоскворечье;Пищевая промышленность
АО УДАРНИЦА ;ЦАО;район Якиманка;Пищевая промышленность
ГУП КОФ ;ЦАО;Таганский район;Легкая промышленность
АО БОЛЬШЕВИЧКА ;ЦАО;Красносельский район;Легкая промышленность
ЗАО ДИАПАЗОН ;ЦАО;Таганский район;Резиновые и пластмассовые изделия
ООО ПСК Стройнеруд ;ЦАО;район Якиманка;Неметаллические минеральные продукты
ООО РЕДАКЦИЯ ГАЗЕТЫ СОЛИДАРНОСТЬ ;ЦАО;Мещанский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ЗАО РЕДАКЦИЯ НЕЗАВИСИМОЙ ГАЗЕТЫ ;ЦАО;Красносельский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ЗАО РЕДАКЦИЯ ГАЗЕТЫ МОСКОВСКИЙ КОМСОМОЛЕЦ ;ЦАО;Пресненский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ЗАО Редакция газеты Московская правда ;ЦАО;Пресненский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО СК Пресс ;ЦАО;Таганский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО ИНФЛАЙТ ИНТЕРТЕЙМЕНТ ГРУПП ;ЦАО;район Замоскворечье;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО КОМПАНИЯ АФИША ;ЦАО;Тверской район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО Деловая газета ВЗГЛЯД ;ЦАО;Тверской район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ЗАО Издательство НЕФТЯНОЕ ХОЗЯЙСТВО ;ЦАО;район Якиманка;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ОАО ОБЪЕДИНЕННАЯ РЕДАКЦИЯ ИЗДАНИЙ МЭРА И ПРАВИТЕЛЬСТВА МОСКВЫ ;ЦАО;Пресненский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АНО РЕДАКЦИЯ ЖУРНАЛА НАУКА И ЖИЗНЬ ;ЦАО;Басманный район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ОАО МОСКОВСКАЯ ГАЗЕТНАЯ ТИПОГРАФИЯ ;ЦАО;Пресненский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО Финпол ;ЦАО;Тверской район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО ПЕРВАЯ ОБРАЗЦОВАЯ ТИПОГРАФИЯ ;ЦАО;район Замоскворечье;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО РДВ-МЕДИА ;ЦАО;Таганский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ОАО МОСХИМФАРМПРЕПАРАТЫ  ИМ. Н.А.СЕМАШКО ;ЦАО;Таганский район;Химическая промышленность
ФГУП ГНЦ НИОПИК ;ЦАО;Пресненский район;Химическая промышленность
ЗАО ПАРТНЕР ;ЦАО;район Якиманка;Химическая промышленность
АО ЭОМЗ ;ЦАО;Таганский район;Производство оптических приборов, фото- и кинооборудования
ОАО МТЗ ТРАНСМАШ;ЦАО;Тверской район;Транспортные средства
ООО ТРАНСРЕМКОМ ;ЦАО;Басманный район;Машины и оборудование
АО НИИД ;ЦАО;Тверской район;Машины и оборудование
ЗАО МЭМЗ ПАМЯТИ РЕВОЛЮЦИИ 1905 ГОДА ;ЦАО;Пресненский район;Производство электрического оборудования
ЗАО КРОСНА-МОТОР ;ЦАО;Пресненский район;Производство электрического оборудования
ООО СПЕКТРАП ;ЦАО;район Хамовники;Производство компьютеров, электронных и оптических изделий
ООО ПРОФЕССИОНАЛЬНОЕ ИЗДАТЕЛЬСТВО ;ЦАО;Тверской район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
"АО НПП КАНТ
 ";ЦАО;Таганский район;Производство компьютеров, электронных и оптических изделий
ФГУП ВНИИА;ЦАО;Тверской район;Научные исследования и разработки 
ПАО ТУПОЛЕВ ;ЦАО;Басманный район;Авиационная промышленность
ФГУП ВИАМ ;ЦАО;Басманный район;Авиационная промышленность
АО КОРПОРАЦИЯ ВНИИЭМ ;ЦАО;Басманный район;Авиационная промышленность
"АО ПЛУТОН
";ЦАО;Басманный район;"Микроэлектроника
"
"ПАО ММЗ РАССВЕТ
";ЦАО;Пресненский район;"Автомобильная промышленность
"
"ООО РУСМОДА
";ЦАО;Пресненский район;"Легкая промышленность
"
"АО НЕЙРОКОМ
";ЦАО;Басманный район;"Приборостроение и электроника
"
"ЗАО МИРРА-М
";ЦАО;Басманный район;"Химическая промышленность
"
"АО ЦС ЗВЕЗДОЧКА
";ЦАО;район Арбат;"Судостроение
"
"ООО МЕРК
";ЦАО;район Замоскворечье;"Фармацевтическая промышленность
"
"АО ЦНПО КАСКАД
";ЦАО;Тверской район;"Приборостроение и электроника
"
"АО НИИРК
";ЦАО;район Якиманка;"Приборостроение и электроника
"
"АО НТЦ ПРОМТЕХАЭРО
";ЦАО;Басманный район;"Производство оружия и боеприпасов
"
"ФГУП НТЦЗАРЯ
";ЦАО;Пресненский район;"Ракетно-космическая промышленность
"
АО ВНИИРТ;ЦАО;Басманный район;Радиоэлектроника и приборостроение
АО ЦНИРТИ ИМ. АКАДЕМИКА А.И. БЕРГА;ЦАО;Басманный район;Радиоэлектроника и приборостроение
ЗАО МНИТИ;ЦАО;Басманный район;Радиоэлектроника и приборостроение
ФГУП НИИР;ЦАО;Басманный район;Радиоэлектроника и приборостроение
ИРЭ ИМ. В.А.КОТЕЛЬНИКОВА РАН;ЦАО;Пресненский район;Научная деятельность
ФГАНУ ВНИМИ;ЦАО;район Замоскворечье;Пищевая промышленность
АО БАНС;ЦАО;Тверской район;Радиоэлектроника и приборостроение
АО НИКИЭТ;ЦАО;Красносельский район;Общее машиностроение
ФГУП ВНИИ ЦЕНТР;ЦАО;Пресненский район;Полиграфическая деятельность
ФГАНУ ЦИТИС;ЦАО;Пресненский район;Полиграфическая деятельность
"ООО ГЛОБАЛЬНЫЕ СИСТЕМЫ
АВТОМАТИЗАЦИИ, ООО ГЛОСАВ";ЦАО;район Замоскворечье;Радиоэлектроника и приборостроение
АО МНИИРС;ЦАО;Таганский район;Радиоэлектроника и приборостроение
ООО ИНТЕХСВЯЗЬ;ЦАО;Басманный район;Радиоэлектроника и приборостроение
ОАО АМНТК СОЮЗ;ЦАО;район Хамовники;Авиационная промышленность
ФГБНУ ФНЦ ПИЩЕВЫХ СИСТЕМ ИМ. В.М. ГОРБАТОВА РАН;ЦАО;Таганский район;Пищевая промышленность
ФГУП ЦНИИЧЕРМЕТ ИМ.И.П. БАРДИНА;ЦАО;Басманный район;Металлургия и металлообработка
АО КОРПОРАЦИЯ ФАЗОТРОН-НИИР;ЦАО;Пресненский район;Радиоэлектроника и приборостроение
ООО СОФИЙСКАЯ НАБЕРЕЖНАЯ;ЦАО;район Якиманка;Производство прочих товаров народного потребления
ИБМХ;ЦАО;район Хамовники;Химическая промышленность
АО МТУ АЛЬТАИР;ЦАО;Таганский район;Производство строительных материалов
ФГБНУ НИИВС ИМ. И.И. МЕЧНИКОВА;ЦАО;Басманный район;Научная деятельность
АО НПК ТЕХМАШ;ЦАО;район Замоскворечье;Производство оружия, боеприпасов, спецхимии, военных машин
АО ЦНИИ ЭИСУ;ЦАО;Пресненский район;Полиграфическая деятельность
ООО ЭКОТОЛ-СЕРВИС;ЦАО;Басманный район;"Производство ж/д транспорта
"
ООО КОМПАНИЯ ВАССА;ЦАО;Таганский район;"Легкая промышленность
"
ЗАО МИКОЯНОВСКИЙ МЯСОКОМБИНАТ ;ЮВАО;Нижегородский район;Пищевая промышленность
ОАО Золоторожский хлеб ;ЮВАО;район Лефортово;Пищевая промышленность
ОАО ХЛЕБОКОМБИНАТ ПРОЛЕТАРЕЦ ;ЮВАО;Южнопортовый район;Пищевая промышленность
ООО ПОЛИГРАФИКА ;ЮВАО;Рязанский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО МЧФ ;ЮВАО;район Лефортово;Пищевая промышленность
ЗАО ДЖЕКС ;ЮВАО;Нижегородский район;Пищевая промышленность
АО МОСАЗЕРВИНЗАВОД ;ЮВАО;район Печатники;Пищевая промышленность
ООО Гришко ;ЮВАО;район Лефортово;Легкая промышленность
